heart_rate,steps,hours_of_sleep,calories,move,stress_level
98,12559,9.716785165607766,2383,525,0
88,4368,8.951204604493409,3059,186,0
74,4797,7.9978413150102385,2040,564,1
67,16114,4.730571466751648,1670,175,0
80,14718,6.869404138288433,1908,570,1
98,2792,7.036645329080505,2239,513,0
78,12053,5.395308150192281,2901,924,0
82,4476,4.479792366155811,2711,994,0
70,4417,8.660341782830155,2357,825,0
70,2645,4.73221031274637,1729,556,1
83,15755,7.565744503370649,3356,384,0
95,4072,9.618695043301964,3375,338,0
99,2854,9.256631155588256,1618,776,1
83,5662,5.666515742495567,2679,698,0
62,7514,9.108691825307591,2283,752,0
81,3708,4.001995036722937,3210,771,0
61,12694,4.106126857679543,1964,657,0
83,10524,7.61531898305719,1603,471,1
89,7456,6.188789314867177,3127,594,1
97,5212,6.318765046954883,2197,723,0
61,14224,7.386646544073295,3495,144,1
80,8970,5.1506947335511635,3318,500,1
92,17920,5.2705321039928705,3025,346,0
71,2625,6.907609522113188,3216,715,1
81,11314,8.525521266063178,3205,696,0
84,8973,7.716986508445526,3222,549,1
86,9577,5.784130289421033,1674,584,1
87,9070,6.582023065053527,3257,745,1
75,9666,5.023988551299991,2244,719,0
74,4600,4.4477788860224905,3197,117,1
62,7783,8.696176244464896,2944,705,0
96,14226,5.592324455129168,2657,761,0
66,10146,5.0665983271074895,2914,857,1
80,5971,8.149708333415916,3259,388,0
68,14490,7.708310045723116,3024,513,1
98,18589,7.799137756080785,2164,820,0
77,13951,5.373367629079682,1532,737,0
63,13312,5.395873231376086,1554,334,1
84,2990,5.324815778713835,3477,515,1
73,6299,5.042515573973767,2018,598,1
68,13997,7.934342035369938,2255,733,1
85,14472,9.088095311496408,3348,749,0
61,5380,8.345904818059967,3161,214,0
79,5757,8.75256180256326,1511,773,0
87,11395,6.428790574511199,3051,812,1
66,17241,7.9244547722319885,2219,333,0
67,6588,6.125417442668647,2054,639,1
94,18350,7.15302773181184,1872,110,0
73,5944,6.889809079209174,1983,305,1
76,14395,5.061322870863126,2472,778,0
95,18072,6.322472562013785,3170,346,0
99,5243,9.782933652894105,2751,658,1
63,10916,5.491481546289652,2122,857,0
61,10984,4.802822417676932,1806,226,1
65,2759,6.5114837297436114,1956,246,0
63,10181,8.74202641516089,1659,217,0
88,3482,7.492889378679834,1830,481,1
77,1951,8.085848963429466,2275,511,1
85,3079,5.138169089048063,1724,763,0
93,3717,7.713689158046329,2482,683,0
69,10692,5.941002369468842,2228,462,0
95,8311,9.005820195728605,3027,608,0
73,19449,7.775792836064417,2979,236,0
90,1768,5.193137666651776,2568,274,0
74,6490,4.387700079064517,2737,388,1
67,16534,4.255799255722197,2582,580,1
73,7645,6.228451405900844,2143,118,1
82,6232,5.595106819925881,2115,294,0
99,12485,7.876540740775049,1694,429,0
80,6797,6.99600300987171,3448,274,0
75,13342,5.596115668032285,1988,548,1
77,9038,4.895426667701057,1656,453,1
83,17002,4.763198576124697,2109,598,0
85,14087,9.187962352842506,2749,240,0
84,5873,5.460867810429203,1911,857,1
88,2481,7.91026388746581,2728,996,1
74,11093,8.864115567917597,2602,192,1
60,15422,7.684487867108416,2647,338,0
84,17438,9.157391389881674,1970,304,0
66,8643,6.354362329170847,3463,659,0
68,16708,9.73733314389369,2741,532,1
